date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:54:08	108/108	---MCZ	200	added ('OK')	text/plain	date:Thu,%2001%20Aug%202024%2012:54:12%20GMT	https://joyuapp.xyz/robots.txt		(from )
20:54:10	413925/413925	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2012:54:13%20GMT	https://joyuapp.xyz/jkc88/	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/jkc88/index.html	(from )
20:54:11	130/130	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Dec%202023%2004:02:49%20GMT	https://joyuapp.xyz/wp-content/themes/twentytwentyone/assets/css/custom-color-overrides.css?ver=2.0	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/wp-content/themes/twentytwentyone/assets/css/custom-color-overridesd5f7.css	(from https://joyuapp.xyz/jkc88/)
20:54:11	49940/49940	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Dec%202023%2004:02:47%20GMT	https://joyuapp.xyz/wp-content/plugins/jet-engine/assets/css/frontend.css?ver=2.8.5	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/wp-content/plugins/jet-engine/assets/css/frontend42e1.css	(from https://joyuapp.xyz/jkc88/)
20:54:11	155461/155461	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Dec%202023%2004:02:49%20GMT	https://joyuapp.xyz/wp-content/themes/twentytwentyone/style.css?ver=2.0	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/wp-content/themes/twentytwentyone/styled5f7.css	(from https://joyuapp.xyz/jkc88/)
20:54:11	2897/2897	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Dec%202023%2004:02:49%20GMT	https://joyuapp.xyz/wp-content/themes/twentytwentyone/assets/css/print.css?ver=2.0	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/wp-content/themes/twentytwentyone/assets/css/printd5f7.css	(from https://joyuapp.xyz/jkc88/)
20:54:12	57912/57912	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Dec%202023%2004:02:47%20GMT	https://joyuapp.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://joyuapp.xyz/jkc88/)
20:54:12	669/669	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Dec%202023%2004:02:47%20GMT	https://joyuapp.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://joyuapp.xyz/jkc88/)
20:54:12	677/677	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Dec%202023%2004:02:47%20GMT	https://joyuapp.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://joyuapp.xyz/jkc88/)
20:54:12	36183/36183	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Dec%202023%2004:02:47%20GMT	https://joyuapp.xyz/wp-content/plugins/jet-reviews/assets/css/jet-reviews.css?ver=2.2.2	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/wp-content/plugins/jet-reviews/assets/css/jet-reviews605a.css	(from https://joyuapp.xyz/jkc88/)
20:54:13	19571/19571	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Dec%202023%2004:02:47%20GMT	https://joyuapp.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.25.0	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7bb8.css	(from https://joyuapp.xyz/jkc88/)
20:54:13	170983/170983	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Dec%202023%2004:02:46%20GMT	https://joyuapp.xyz/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.18.2	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/wp-content/plugins/elementor/assets/css/frontend.minaad7.css	(from https://joyuapp.xyz/jkc88/)
20:54:13	12876/12876	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Dec%202023%2004:02:47%20GMT	https://joyuapp.xyz/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://joyuapp.xyz/jkc88/)
20:54:13	1621/1621	---MCZ	200	added ('OK')	text/css	date:Tue,%2007%20May%202024%2006:38:04%20GMT	https://joyuapp.xyz/wp-content/uploads/elementor/css/post-10.css?ver=1715063884	C:/Users/User/OneDrive/Pictures/JKC88/APP/JKC88/joyuapp.xyz/wp-content/uploads/elementor/css/post-107e5c.css	(from https://joyuapp.xyz/jkc88/)
